qid,query
1,An action game
2,A text-based interactive game
3,A horror game with bloody scenes
4,A game in which players act as a city builder with multiplayer platforming adventure
5,A game with pixel puzzles to solve
6,A shooting game with automatic lock-on targeting system
7,An arcade strategy game
8,A physics-based building game
9,A game with the mythology of ancient Egypt
10,3d action adventure game
11,A turn-based tactical RPG game
12,A card-driven space exploration strategy game
13,An escape game
14,A visual-novel with match-3 gameplay
15,A 2D exploration game
16,A stealth-action game with horror elements
17,Classic arcade game
18,visual novel games
19,A 2.5D fighting game
20,A role-playing game with adventure element
21,A most popular game
22,A game with most reasonable price
23,Most interesting game
24,A game suitable for couples
25,A cooperation game
26,A game for 20 years old women
27,A recent game with high rating
28,A shooting game with most people playing
29,A 3D game with fancy scene
30,Best game for a family party
31,A game with beautiful architectures
32,A complicated puzzle game
33,Most people liked game
34,A game with most people online
35,Most difficult fighting game
36,A game related to princess
37,An attractive 3D game 
38,A game suitable for chirdren
39,A RPG game with attractive charecters
40,An adventure game for two people